VOUT_MAX,Target,Model,Split,R2,RMSE,MAE
3,TPHL (ns),LinearRegression,Train,0.999706834700738,0.012796637632023138,0.009965866379874077
3,TPHL (ns),LinearRegression,Test,0.9996843970257591,0.009908634763360086,0.0073247155021424985
3,TPHL (ns),LinearRegression,CV,0.9996189719162022,,
3,TPHL (ns),GradientBoosting,Train,0.9999999976310425,3.6376274739956715e-05,2.917963786268629e-05
3,TPHL (ns),GradientBoosting,Test,0.9965650106927227,0.03268932639558418,0.02848807057291196
3,TPHL (ns),GradientBoosting,CV,0.997251127813303,,
3,TPLH (ns),LinearRegression,Train,0.9994283695596756,0.05656405750737203,0.04289145853121289
3,TPLH (ns),LinearRegression,Test,0.9988158109579338,0.04674170418039454,0.04126369070091682
3,TPLH (ns),LinearRegression,CV,0.9990409859831673,,
3,TPLH (ns),GradientBoosting,Train,0.9999999976194267,0.0001154313182076621,9.013404302090078e-05
3,TPLH (ns),GradientBoosting,Test,0.9967149221895191,0.07785147654338986,0.06208172597996979
3,TPLH (ns),GradientBoosting,CV,0.9963425879646725,,
3,VOUT_MIN (V),LinearRegression,Train,0.9842932457569591,0.04396956108456701,0.037467317423598004
3,VOUT_MIN (V),LinearRegression,Test,0.9778930030969307,0.04055067617148744,0.03789072413037385
3,VOUT_MIN (V),LinearRegression,CV,0.979602592482354,,
3,VOUT_MIN (V),GradientBoosting,Train,0.9999999993436379,8.988364231757359e-06,7.082787289415814e-06
3,VOUT_MIN (V),GradientBoosting,Test,0.997137222315134,0.014592410448210897,0.011318119082659278
3,VOUT_MIN (V),GradientBoosting,CV,0.9980571252848678,,
3,DAVG (derived),GradientBoosting,Train,0.9999999623903785,0.0003009488769287835,0.00021253770369501768
3,DAVG (derived),GradientBoosting,Test,0.9969010351283889,0.05312999677614841,0.04411427575572504
4,TPHL (ns),LinearRegression,Train,0.9999843806580155,0.007926604242475273,0.006833381542126307
4,TPHL (ns),LinearRegression,Test,0.9999862420935401,0.0055930910337048684,0.004471339988189049
4,TPHL (ns),LinearRegression,CV,0.999980984409089,,
4,TPHL (ns),GradientBoosting,Train,0.9999999978764493,9.242450291700639e-05,7.662887612608082e-05
4,TPHL (ns),GradientBoosting,Test,0.99772269709402,0.07195916446331066,0.06208952572012225
4,TPHL (ns),GradientBoosting,CV,0.9977840210066471,,
4,TPLH (ns),LinearRegression,Train,0.9955821871263713,0.040699697593627716,0.03523130195973728
4,TPLH (ns),LinearRegression,Test,0.9419178457639432,0.04770678774879985,0.041877945718705886
4,TPLH (ns),LinearRegression,CV,0.9822753281822528,,
4,TPLH (ns),GradientBoosting,Train,0.9999999945712253,4.5116814858278624e-05,3.460894839648343e-05
4,TPLH (ns),GradientBoosting,Test,0.9882740737182855,0.021435439724058068,0.013746899445065108
4,TPLH (ns),GradientBoosting,CV,0.9875986269432019,,
4,VOUT_MIN (V),LinearRegression,Train,0.9839329799439914,0.07441642107520717,0.06297280368272078
4,VOUT_MIN (V),LinearRegression,Test,0.9778500154837863,0.06779007833785634,0.06248247829859284
4,VOUT_MIN (V),LinearRegression,CV,0.9793031039620633,,
4,VOUT_MIN (V),GradientBoosting,Train,0.9999999997862583,8.583130736146756e-06,6.3894128384380596e-06
4,VOUT_MIN (V),GradientBoosting,Test,0.9971426239272292,0.02434799052865212,0.017470983849331656
4,VOUT_MIN (V),GradientBoosting,CV,0.9980382561150158,,
4,DAVG (derived),GradientBoosting,Train,0.9999999223526884,0.00035022868189581494,0.0002601807906281284
4,DAVG (derived),GradientBoosting,Test,0.9969005847338079,0.043196415484587074,0.03462254868928381
5,TPHL (ns),LinearRegression,Train,0.9999695283251087,0.016523066477970205,0.011140150813474357
5,TPHL (ns),LinearRegression,Test,0.9999866114424614,0.008866674683650218,0.007520505507805475
5,TPHL (ns),LinearRegression,CV,0.9999598160572031,,
5,TPHL (ns),GradientBoosting,Train,0.9999999997883569,4.3545626174496786e-05,3.332916575602538e-05
5,TPHL (ns),GradientBoosting,Test,0.9939036562984006,0.18920325421913783,0.1550671428701325
5,TPHL (ns),GradientBoosting,CV,0.9963268058181614,,
5,TPLH (ns),LinearRegression,Train,0.9944105491609438,0.0260498348833543,0.02212511299708599
5,TPLH (ns),LinearRegression,Test,0.9929327134616057,0.02565863433443861,0.02403790292704864
5,TPLH (ns),LinearRegression,CV,0.9935400756793223,,
5,TPLH (ns),GradientBoosting,Train,0.9999999129444348,0.00010280605029241459,8.313066313826103e-05
5,TPLH (ns),GradientBoosting,Test,0.9917256177805089,0.02776354873875813,0.0243110778667354
5,TPLH (ns),GradientBoosting,CV,0.9816387650114116,,
5,VOUT_MIN (V),LinearRegression,Train,0.9825716780478317,0.11061413377308088,0.09713087449694725
5,VOUT_MIN (V),LinearRegression,Test,0.9849681878623375,0.08505495397494899,0.07641338451360516
5,VOUT_MIN (V),LinearRegression,CV,0.9793952842057003,,
5,VOUT_MIN (V),GradientBoosting,Train,0.9999999994844067,1.902551738257032e-05,1.5191433847666521e-05
5,VOUT_MIN (V),GradientBoosting,Test,0.9906276476043852,0.0671611693248798,0.05449142895550933
5,VOUT_MIN (V),GradientBoosting,CV,0.9965574632781934,,
5,DAVG (derived),GradientBoosting,Train,0.9999999512027479,0.00032358529976209247,0.00023903603546848728
5,DAVG (derived),GradientBoosting,Test,0.9943362218389644,0.08758447869281603,0.07333531966500784
